tweet,y
"@OutnumberedFNC  ""A dangerous injustice collector."" AKA--&gt; A racist.",0
Officially suffering from compassion fatigue. 😔,1
@JebBush Good manners and compassion always work.   🇨🇱🇺🇸,2
Quit being arrogant fucks.,2
@drgoddess It should just be  .. how petty to pout about   knocking  off the mainstream.,2
RT @zalfette: when you stop listening to someone talking and then they ask you a question and you're  just like http://t.co/UOFpx1kMoc,2
Love each other.......respect our differences. ....have compassion for those you feel aren't as fortunate....,2
"I wonder if anger Christians have towards Abbott being labelled Christian, is the same anger Muslims have when terrorists identify as Muslim",2
@peaceday @4BLISSmusic @Music4PeaceSD  Respect your unwavering fight for  and believing  https://t.co/CZBZMUI1Y9,1
RT @fhnactivities: Great job @FHNknightline at State Dance!  Beautiful performance! https://t.co/bjE4hBDtvF,2
@robfit    This is quite easy to stop. All they have to do is learn how to RESPECT AND OBEY the law.,2
"@pramilaj Pramila Jayapal supports privileged, racist thugs who hate free speech and illegally trespass on a speaker's podium",0
@DanScavino @Denise7Berry @realDonaldTrump Respect and Appreciation are character traits of DT.,1
@glennbeck Says It's Not a Coincidence That 'All the Usual Suspects' Seem to Descend... http://t.co/LyJwbfCXwK via @theblaze,2
"@kezzsinoro The reason I say  is that injustice and violence runs rampant across ethnic, socio-economic, and gender lines.",1
"@Oddy4real if insulted, disgrace, reproach or condemned, why?.. Bcos God is a jlos God, doesn't joke with his men been insulted or abuse...",2
Hate can't win. Gun violence and prejudice are killing America. Let  like,2
I've only ever seen  used to deny the mistreatment and oppression of minorities and to silence recognition of atrocities.,0
RT @justin_fenton: There's a rumor/blog report purporting to say  had pre-existing spinal injury. We pulled the case - it's a l…,0
The one that hurt the most,2
"When the priority is on revenue, law enforcement has little obligation to serve and protect.

 https://t.co/0DF63qrdM0",1
@jamesrgoodman : We speak out in defense of the sacredness of human life!!,1
"@megynkelly @GriffJenkins watching thugs break laws,cause destruction over a lie",0
"RT @LinkeviciusL: Deeply sad when voices of democracy get killed in Russia. RIP Boris Nemtsov, heartfelt condolences to family. Your battle…",2
"Stop supporting this cruel nation!!.. 😡😡😠

 https://t.co/gl0t7gDjbt",2
Shout out to all of the racists who disguise their racism as patriotism    http://t.co/keFC793hlj,0
RT @ShawSportsNBA:  - natural diaster.  -man made diaster. Sadness and tragedy in both but really hurts differently,1
RT @zellieimani: The police won't dismantle itself. It must be dismantled by the people.,2
RT @ChinoMaidana: Guerreros en el ring pero amigos afuera @AdrienBroner http://t.co/8Ll01ta9Fn,2
Christian hatred of homosexuals is part of a dangerous political agenda https://t.co/hblxcou8P0 New Read!,2
The @sunwolves thank their loyal  fans in  https://t.co/5JkfDFtnjB,2
Sending Unbaptized  to Place Distant From God Causes Revulsion RT https://t.co/8zqQSbacV2   https://t.co/ZvTqspk4wT,2
"""'The soul that sins, it shall die'! So the phrase 'immortal soul' is pure oxymoron!  The Word of…"" — Joseph O Morrow http://t.co/vjsaW3EgHT",2
RT @gosathya: It's better to fail at something you love than to succeed at something you hate.,2
Praying my daughters stay out of harms way.....  lord have mercy 🙏😳,2
This is NOT President @POTUS of all  @realDonaldTrump https://t.co/cYTnVHfqNp,2
.@HillaryClinton  acts as a counter-point to  effectively denying the existence of that social inequality,0
Desk Sgt. Trudy Platt of @NBCChicagoPD is enjoying the “crossover” experiences of Dick Wolf’s “Chicago” franchise.… https://t.co/s4LMlXS4Ov,2
Injustice for one is an injustice for all,1
"@SheriffClarke Sheriff Clarke, You are a hero and a patriot. Your fierce loyalty to find the truth is unmatched. Well done.👮",1
@JamesRosenFNC @LelandVittert @dougmckelway @RickLeventhal @pdoocy Exceptional work from intrepid @FoxNews  crews/reporters!,2
Nothing but terroristic racist thugs,2
@TheRoot stop being the slave to democrats! Such hatred and racism in BLM that it's shameful for anybody to praise them!,0
"The true motive of war is the destruction of humanity on every level, so that the ruling elites may maintain grip on power.",2
We deserve a justice system that is fair and equal for all people.,1
https://t.co/8CpoesCk3d,2
Be a beacon of light in dark times     http://t.co/Dv0pmhKqzr,2
"""  is a short handed selfish and racist way to discredit  """,2
"Ok, here we go, will  respect the curfew",1
"RT @ArtOfTheTattoos: ""what will those tattoos look like when you're old?"" http://t.co/b8oBh4NmxB",2
MT @alvedaking: We must never be silent about    https://t.co/tMQfiNOgGF   none,2
"16:90
Allah enjoins the doing of justice and good to others and the giving to kindred, and He forbids indecency and evil and rebellion",1
Funny how deray and his ilk are now all concerned about  and   https://t.co/DzaNTmJfk0,2
"Suffering a medical emergency is a heart attack or stroke, not you were beaten and your spine was severed.",0
SOGAA stands in solidarity with the PEACEFUL protesters who are demanding  for  https://t.co/UzmcwU1tSo,1
DEFENDER  Bmores Back@MANGATOR @FoxNews  @RAVENSNAILCARE @IamYoungGoldie @skinzmama# No justice no peace,2
"RT @dril: committing unforgivable crimes against nautre in my laboratory ,trying to create the next genetically discombobulated meme animal",2
"http://t.co/eTBtptiksa RT @flolenator we ask for gold~we crave richness~yet there's gold and richness surround us~in nature, God gives all",2
RT @x_nonchalant_: Let that hurt go,2
Peace love positivity,1
"""Those who love peace must learn to organize as effectively as those who love war...""    http://t.co/IIsBxqQ9Ci",2
"Guard strictly your habit of prayers, especially the Middle Prayer; and stand before Allah in a devout (frame of mind).

 2:238",2
Co-opting  because you refuse to empathize w/the systematic and legal persecution of,0
RT @GradWomen:  Singh @UN Special Rapporteur on the right to education stresses girls' fundamental inalienable right to education.,1
Police: We failed to get  medical care - http://t.co/mIqKX6OvNj,2
"Don't want a baby, be a lady!   @tedcruz",2
RT @NatalieDavila_: Please offer love and compassion to your fellow humans rather than hate and judgment.  http://t.co/oNuZr…,0
"God protect all people from evil, harm and danger.Lord, help us love each other. IJN   https://t.co/Pwpdq6BoIo",0
@MR_A_Tim lmao! I'm still a loyal follower 😐,2
don't blame the protestors blame the superiors who manipulate and allow injustice to happen.,0
@hproudy Me too. Her and Morgan are both acting like idiots right now.,2
"Mosby: quote:The facts speak for themselves;    http://t.co/pBlN8r123Z""",2
@BeauMinnick @WNCN  everyone's children. Young Americans gone too soon.,2
Laws do not prevent crime they punish bad behavior,0
Why  Demonstrates a Lack of Empathy   http://t.co/8RtFRsxaZF http://t.co/i52S1CIpsi,2
"Just curious, did our forefathers cancel any sporting games (to ensure peoples safety) in light of the Boston Tea Party?",2
"No genuine  supporter would kick, punch, or yell racial slurs at a protester demonstrating his freedom to peaceful assembly.",1
The insidious violence of  http://t.co/vxc4h5NndI http://t.co/euWxwrjsx1,2
Thank God for @larrywilmore and @NightlyShow for speaking truth on  - it's a shame we have to turn to satire for sense!,1
"Hate of race or religion? It's ALL hate, ALL wrong. Pray for our nation and unity of hearts and minds.",2
@Tmerlo19 Yes I have seen that  👮 My Son in Law matters and   Justice and Equality,1
@JustinTrudeau u pander to terrorism sickening coward no respect for lives  https://t.co/8lQW3f0Kah,0
New Year’s resolution: compassion in the face of fear https://t.co/txfyGtCG1o,2
Today is the 42nd annual Sanctity of Human Life Sunday. A day created after the... http://t.co/RQOn2mnkO5,2
"solidarity march begins. ""All night, All day, We're gonna fight for  http://t.co/qDlDH1jtDq",2
We want justice now.   http://t.co/eTWiCwobB3,1
RT @ravikarkara: .@phumzileunwomen we need to focus at highest level of leadership to commit on gender equality @Empower_Women @Citi http:/…,1
"It sad to see  being exploited,  being utilised for their innocent faith in so many various ways for detriment of",0
Our Justice system must also uphold the truth that    http://t.co/odf28OghsZ,1
Damn RT @TheCreepeers: http://t.co/WPnuOTNZqS,2
Bring this coward to justice!  http://t.co/Twm9FHR4Df,1
RT @gavi: Wondering where to begin? This brief history can kickstart your World Immunisation Week https://t.co/LyuUrz8QNw @VaccinesToday,2
"“Bear witness to injustices that result in poor health, and work to remove those injustices and build health equity."" http://t.co/wBG4lgb365",1
Justice for    https://t.co/XFngPeURxZ,1
I pray for everyone who needs help love kindness support may the lord bless everyone.,1
My feelings are hurt this morning...  http://t.co/wRu7imvcT8,2
"RT @deray: And here is the cell phone video of  arrest. He was alive then. Baltimore. 

Graphic. http://t.co/PpAh6nM4DW",2
I'm so happy that I got my wisdom teeth pulled on the Weekend that there's a that so raven marathon on,2
"@obscurvious
Newt: Slimy swamp creature scum https://t.co/xCNJoVPWXd",2
@NASCAR @TonyStewart  Such a wonderful and caring thing to do!    https://t.co/uju8qSfOPW,2
All condemning  should study history. Oppression and injustice has never ended without at least some violent resistance.,1
Those who deny the oppression are part of the problem. My heart hurts for those who are suffering today.,0
@PattersonNBC @bosconian72 may God rest her soul,2
RT @deray: The police just shot something. But I didn't see smoke not sure what happened.,2
Justice is colorblind.,1
"Such tragedy and ruin in  Such frustration, anger and violence in  So hard to watch. What to do?",2
Something needs to change to stop innocent people from being hurt by    https://t.co/oHIyKZ7uhx,2
"RT @_WelcomeHome_: May we prize the light of thy smile, implore the joy of thy salvation, and find our heaven in thee. Puritan prayer",2
Someone assassinate trump already,2
"RT @enterempire: Corporate Media dictates the subversion and distortion of 

For unfiltered truth https://t.co/k4rusPuSCO http://t.c…",0
-Ignore people who just want to hurt you.-     http://t.co/f0we46uNvm,2
"RT @activist360: Emboldened by Trump's bigotry, Tea Partiers prepare to ‘start killing the hell out of’ Muslims to stop Sharia law https://…",2
Remembering all those who laid down their life protecting our freedoms http://t.co/bA2ieEUMGh,2
RT @TJColonials: TJ Boys Tennis - 2015 Capitol Conference Champions!!!! http://t.co/UL783sBgPw,2
@TheSophTaylor @TheJasonTaylorR @RileyTaylorRP *Smiling at you* I am glad you deserve to be happy,2
"A policy that seeks to sacrifice vulnerable children in a search for a greater good, is not short of misguided evil. @FatherBob @blanketcrap",2
@crimethink3r @K_E_V_O_N exaclty let those savages police themselves pit a 20 foot wall around the darn democrat ghettoes,0
and  ! Equality for all  and  .,1
Which side of history will you stand on? That of love and compassion or hate and ignorance?,1
Don’t try to cheat to get to the top of Google. It will cost you. | https://t.co/wLMXf868dW,0
Cant have stupid penalties like that,1
All respect to @thegame and @SnoopDogg,1
I'd like to see the police have a protest against the disrespect of the citizens they protect.,2
@ffeineandsugar it's the marginalization of the black (male) that's the social malady with which we much reckon as a nation,0
RT @UnToldCarlisle: When @BaltimorePolice lie and media tells the truth http://t.co/xygEZk4iW0 http://t.co/nQOC1U5e2F,1
"Thy sin is forgiven thee, go and sin no more. https://t.co/7bhE2pFxe4",2
"Justice is the birthright of every human being. 

Min @LouisFarrakhan

https://t.co/ngHm1X5BV5",1
RT @Bipartisanism: What the  curfew looks like in white vs black neighborhoods.  http://t.co/IOIjx2utY6,0
@SoongJ your profile pic tho 😍,2
The first rule of liars club is that you do not talk about liars club... https://t.co/Ug9pqkoC41,0
RT @L1LDebbie: Be a loyal good woman and everything will fall into place. Don't be a conniving bitch no matter who hurt you.,2
Justice for Alton Sterling,1
Thanks to all who joined and especially to my  co-mods @aj_hartley1 and @RodneyHetherton who model servant leadership every single day,2
A truly despicable human being!    https://t.co/5Fga6c0Syb,2
"Genuine reparations by the oppressor, and true forgiveness by the oppressed https://t.co/hkltbiwiLu  http://t.co/2l8KKGbcx2",1
"RT @karunanundy: She was not partisan nor a power seeker, but Pakistan's State, non-State actors can't stand dissent   http:/…",2
"A5 Low productivity impacts all of life as it causes emotional, physical, financial, and relational stress.",2
Justice doesn't have a race.,1
"I just can't cope with all the hatred, inequality, injustice and unfairness of this world.",0
"Simply thinking ""Don't let the bed bugs bite"" can keep me awake all night.",2
still up? Go to bed? What do you want? You must obey the law.,2
"Post-Break,  , social justice performances, Teach-Ins, and GDS- so many  this week:  https://t.co/ClGrn485sY",1
I don't understand how the city would bother issuing a curfew when disobedience is integral to protest.,2
"Reality Check: We’re at War Against Incarnate Evil - 

Protest ABQ http://t.co/nvSjq2sBN5",2
Amen proud of my home state South Carolina for showing love and compassion  http://t.co/iGyjmU7CtY,2
i feel like i'm becoming the type of person that hurt me.,2
@MooseWinningham indeed! Justice and integrity essential to real people.@ExposeTPP : http://t.co/6Ihe2mqa07,1
@MayorSRB what is the solution for the constant police brutality abuse and profiling that caused the,0
"1% corp and shill disrespect discrimination abusing 98% lives w JUNK:  food, education, jobs ALL related",0
Is a Radical Terror Hate Group and a Blatant Con  https://t.co/e4ZwTsBkg8,0
"Saying  is like saying ....""With Liberty and Justice for All"".",1
"""We must not value property above human life..... as long as it's someone else's property."" - Stephanie Rawlings-Blake",2
Assad Brutality          http://t.co/Ww9Qv0C8tl,2
"@nypost @vannschaffner Report ALL Social Media incitement.  
You may save a life.",2
"a concerted effort 2 deny inequity exists,allowing ppl 2 feel justified in their inaction and complacency",1
Stand for justice not division.,1
RT @brucepknight: 6 Baltimore police officers suspended in  case | Maryland News - WBAL Home http://t.co/1La7TOGyT4,2
If  was the truth thete wouldn't be a  movement.  Denying racism is racism,1
"Allah may reward true men for their truth, and punish hypocrites if He will, or relent toward them. Allah is Forgiving, Merciful

 33:24",1
@RepMikeHonda @IStandWithAhmed @NASA @NASAAmes what a fraud,0
"I stand in solidarity with all who stand for peace, justice and equality,",1
holy jesus,2
Discovery day round 2 tomorrow! Come discover an east coast classic!,2
@AndreaTantaros @FoxNews  disgrace,2
"If fighting injustice means causing greater injustice and harming innocent people, then you've already lost",0
@ABCNews24 @4corners gobsmacked that this horrific death does not deserve prosecution,0
"Good job @foxandfriends !!  matter 👮💙 the mob mentality of  is outrageous, at best. Liars and racist",0
RT @Dolphinchaz: Utterly disgraceful - where is the scientific evidence that this mass slaughter is effective??? https://t.co/k7VoI5GjEY,2
Held the door for a lady at qdoba. She bought my burrito for me because of it. That's one way to make my night,2
"RT @PrevGenocide:   ""Genocide is a denial of the right of existence of entire human groups"" 1st  affirms Genocide is a C…",1
