tweet,y
.@AMCPorg encouraging members to contact  to sign letter urging  to rescind proposed   rule,2
RT @charraee: It's sad how many people don't realize how bad their words could hurt someone.,1
RT @NuraRabiu19: @muhddarazo @dawisu @amnesty @hrw @chairmannhrc @ihrc @kenroth This is a sheer display of inhumanity and tyranny,1
@CraigyFerg it's supposed to renew your faith in humanity     @Mercury1Charity NAIN,0
War is never the right answer   https://t.co/gbugXWbG7K,1
"RT @MrAlMubarak: Ya Allah, No matter what happens, give me the heart that is willing to obey you whatever the cost may be.",2
"in Solidarity with  -  Day2
   http://t.co/C3hTt7AVJ2",1
@derekmhopper we hold brown people to a different standard and accept their overt racism as somehow justified.,1
Obey the law.,2
solidarity with the die-in,2
RT @LOLGOP: So this week conservatives said the Pope shouldn't follow his beliefs but government clerks should decide who God wants to get …,1
Sorry but  any kind of death or killing is awful,1
@frecklesnlove that's hilarious a hypocrite calling someone a hypocrite,2
@ShaunKing It's only  who would ask your color.  whether they like it or not.,1
No one should fear being subjected to unnecessary force from those who swore to protect us.,1
"True. Sympathy
 https://t.co/RYA0A56BzA",2
This police system was set up to protect white America. It must be completely replaced like our govt. for the sake of humanity,2
yes let's commence the violent riots to protest violence,1
"@OpBerkeley @YourAnonGlobal 
 and deserve justice",2
"Here’s why saying "" hurts https://t.co/ZGNMa57YLm https://t.co/angRzIw9g4",1
Birmingham Solidarity Protest PhotoCred: @highlyfe22    https://t.co/n8zetSRWJc,2
On the death of  -- attorney @WBillyMurphy during the noon hour @MiddayWYPR live on-air online NPR-Baltimore,2
"@equilange @deray @gglightbulb And now folks, another law that profiles more poorer people!",1
Lunch Break Goodness: It's Tuesday and a **NEW** post is up + in the inbox for… https://t.co/BXPaedHlFm,2
"1 bad apple does not mean all are spoiled
Innocent lives taken to revenge another innocent life does not justify anything!",1
May we honor and revere the dignity of every human life no… https://t.co/7h6pmKF1zt,2
"RT @ahmadad3759: @WHO. No healthy society will tolerate what
happen to Batoul. Her ordeal is a crime
against humanity.",1
"I'm at Hilton Garden Inn Staten Island in Staten Island, NY https://t.co/z38WNtH6jW",2
Nonviolence is the ethical way to act...but what if those calling for nonviolence are the ones in the oppressive class?,2
"Happy Tuesday!! -  🚦📷🎬📺🎤🎢✒📚💯💡🌟🌋🌍😇😈💖👄👅👍👌👏🙌😜😕😄 $$
  https://t.co/4V1HRe95of",2
Justice doesn't have a race.,2
What is the responsibility of a President with regard to freedom? @MamphelaR @helenzille @BantuHolomisa http://t.co/SXXfxSCS47,2
I believe in the constitution 😳😳😳😳,2
RT @CrownMe_Jai: I'm winning no cheat sheet 😛👑 https://t.co/7ExiZ2mV5k,2
I’m proud to be amongst those conservatives who stand for racial equality and believe that  https://t.co/Q7I8mPN6AJ,2
"RT @truthout: ""Running While Black"": Protests Swell Over Death of  in Baltimore Police Custody http://t.co/LJetuZ7gid",2
Stand w/ terrorism's innocent victims in an indiscriminate and wholesome manner,0
"Professional protesters, media whores, and political frauds - good night. Tomorrow is another chance at fame.",2
"RT @sarahelbery: ""You don't have to be a racist to be privileged by a racist system""",2
We are all divine human beings. Love your self. 😋✌️      http://t.co/q1DiyreIzl,0
"""Change"" religious beliefs?!         http://t.co/VQ26Ip506k",2
"Police aren't our enemy, Hatred and Violence are.",1
winter barely even started and i'm already 3 shades lighter than i was in the summer😪,2
A lack of of empathy will grow hate,1
@PolyPrep stands in solidarity w/victims of anti-black violence.   http://t.co/VhbMTKZgF3 http://t.co/OthGfWFmwQ,2
RT @AlveenerR: May Allah punish you @GovUmarGanduje  by oppressing my friend,1
"@wdlyon @thehill whatever helps you through. ""But Hillary"" ""but Obama""....judge Trump on his own without ANYONE else. If ur still happy, gr8",2
"16:90
Allah enjoins the doing of justice and good to others and the giving to kindred, and He forbids indecency and evil and rebellion",2
Respect       http://t.co/mzded5jLg8,0
Defeat cannot dishearten me. It can only chasten me. I know that God will guide me. Truth is superior to man's wisdom.,2
"and  by large, have done nothing but fuel the hatred and misguide anger towards law enforcement",1
RT @Jeddah_Info_:  News | 33% of Jeddah women want to be entrepreneurs - Saudi Gazette http://t.co/GsPcJ7X98F   @Jeddah,2
It's more than criminal action it's treason https://t.co/O9jM99GLOR,2
I'm sorry but racism works both ways.  @deray,1
When cops show up to peaceful protests in riot gear violence begets violence. Getting that reaction will make sane men angry,2
"to apply force against ruinous injustice right of all humans in extreme cases to resist oppression

http://t.co/nzQ2T1zjvM",2
"Post-Break,  , social justice performances, Teach-Ins, and GDS- so many  this week:  https://t.co/ClGrn485sY",2
@fatnutritionist This is one reason why a constitutional amendment guaranteeing the right of all citizens to vote is a good idea.,2
Riots are what happens when justice isn't served; the frustration of injustice is fanning the flames.,2
"To Jesus,   and frankly  even  Jesus values life b/c He created it.",2
“@meghan_corder: In honor of National Sanctity of Life day❤️👶👣   http://t.co/haqeOvASTt”,2
"RT @EmDubious: There's money in music, even with no label. If you're getting views you should be getting paid. Let me help you get that che…",2
"@Dutrizac Racism, Sexism and banalisation of violence towards women is not tolerated no more stop spreading hate",1
killing teenagers SOOO often. Police brutality and violence in America is absolutely disgusting,1
"Build a President, a Mandela legacy project, is proud supporter of @lead_sa vigil @ChangeAgentSA @taraturk1 @gavdavis http://t.co/Wv7X2kW1Q5",2
@lemonandherbst Faf is clearly the biggest cheat in world sport history.,2
Cant have stupid penalties like that,2
RT @ZahrahIMN: Whoever has human heart will find it necessary to show sympathy to this😭😭👇 https://t.co/eQR1meYGcU,0
Poverty was weaponized to break our spirits till we bloodily worship our oppressors for crumbs like the fowl being plucked alive.,1
RT @nathansisk34: I respect those who serve to protect and defend our country more than anyone 🇺🇸,2
Injustice has gone on for too long. ALL deserve to live w/o fear of harm. RIP.   https://t.co/ChI3O0C74P,0
Great word on abortion and our duty as believers to protect and fight for all lives.  https://t.co/lalpCLXjok,2
I'm so happy that I got my wisdom teeth pulled on the Weekend that there's a that so raven marathon on,2
"Do you have answers? respect /Show compassion for Asians, Blacks Browns, Whites... Love is love",0
@opinionatedbruh police are justified to kill anyone who runs from them? that's a very dangerous and anti-Democratic thought,1
"@CNN - If revenge were the answer, it would never end as those hurt today would then be justified to hurt others tomorrow.",1
European Corporations violate human rights all over the world http://t.co/uYnAGNjtNO,1
Our Justice system must also uphold the truth that    http://t.co/odf28OghsZ,2
The  response shows wild ignorance and a lack of empathy that fuels racism and inequality. It also demonstrates they need help.,0
RT @Ra_wife: R.I.P  May God bring strength to your family and friends.. I Pray some Justice is done  what happen?,0
RT @Souidos: From revolutionary  in   solidarity with     http://t.co/…,2
Sending all my love to those in NYC and other national demonstrations for standing in solidarity with Baltimore.,2
@anaIdirgeprat never underestimate the stupidity of people,2
Mourning carnage and lawlessness in  a city strongly supportive of  Bless them,1
One of the best gifts you can give someone is the gift of thanking them for being part of your life.… https://t.co/aSo5dg2fNb,2
I'll never understand the reasoning behind punishing innocent people b/c of other's wrong doing,1
"Let not those grieve you who fall into unbelief hastily; surely they can do no harm to  at all;

 3:176",2
“@ZacEfron: I'm rooting for equality,0
"@denice_ruptly @OpFerguson No Peace W/out Justice for families of victims.
  everyone",2
It's about humanity and equality   😔🙌,0
Seek Justice for Jessica. http://t.co/fieY8ashQE,0
Stop un justice behavier agaist pukhtoons.,0
God forbid policemen do their jobs,2
RT @N_S_Dolkart: Christianity’s founding myth is based on the evil and hypocrisy of the Pharasees. You know who the Pharasees were?,2
@LAJoey86 @SanJoseSharks @warriors @SFGiants if the giants lose that's not a choke,2
so let's show love towards our fellow man and stop allowing those that have spoken racist words and hatred to win out.,2
"RT @ahofschneider:  is under pressure to disclose its role in ""land grabs"" that hurt  peoples http://t.co/nsOVffvBQ8 @nprn…",1
https://t.co/hyXvAYIIT7,2
I'm such a dick,2
Senseless violence and destruction accomplishes nothing. Pray for,1
but racists behind  prefer criminals over innocent http://t.co/C7W2cGUc4c/s/L3zu @foxandfriends,1
"@sallykohn @YDanasmithdutra  Sad ""selected"" narratives pushed  press.  was a pure evil lie.",2
We must all suffer one of two things: the pain of discipline or the pain of regret or disappointment. - Jim Rohn,1
"RT @MichaelaAngelaD: this is what generations of pain, oppression and anger creates ...",1
Police Rethink Long Tradition of Using Force  http://t.co/sJ0eFsJbla,1
"Of course  and also  because 
Killing cops for being cops for your injustice is unacceptable",0
"Senseless acts of man's inhumanity to man!
 http://t.co/YMeZMVNEPQ",2
"When people refuse to honour godly leadership over them,they corrupt every thing they touch and people close to them.",2
"Radiate love, compassion and the energy you wish to feel in this world. 

  https://t.co/8JxdFW4cjU",0
My church and others prayed for Baltimore and  family during worship today.   @ChristChurchDC,0
"MY  for 2016 teaching my kids to have Morals and Obey the law as always
wish all would",2
"RT @RussPtacek: CNN anchor ""whole heartedly apologizes"" regarding her  story, Brooke Baldwin doesn't say what mistake was http:…",0
especially those affected by  It does not discriminate  @HillaryClinton @BernieSanders @MartinOMalley,1
"@AdamHSays 
One Love Pray for our People. Unite Don't divide.",2
"RT @jatovia: What you are seeing in  is a natural response of human beings under duress, pushed to the brink.",2
"I keep saying a revolution is coming. Too many blacks, women, poor hurt by systemic injustice",2
RT @ykomska: Radar technologies detect Holocaust escape tunnels without disturbing mass burial sites. https://t.co/jI7o5oPou0,2
"Want a better understanding of the current vitriolic, racist hatred of the  movement read this:https://t.co/5hiDAOtHhP",1
"to  - We are ALL His Children. Just as any parent, we are all loved equally for we are all... http://t.co/feMVPHaNBl",2
"Revolution land  sends first ever democratically elected president Morsi to prison for 20yrs. Frank says, democracy is so overrated!",2
"RT @Sifill_LDF: My morning thought:  made ""eye-contact"" w/a police ofcr. Are we again required to drop our eyes on the street? …",2
RT @janlovesword: Scripture says Christ has made His people kings and priests for God but many still live like slaves of culture and worldl…,2
@NYCMayorsOffice @BilldeBlasio Innocent officers murdered at the hands of a racist psychotic.,1
"RT @AUC_DPA: Uganda  is finalising a transitional justice policy to address historical injustices, including human rights violations",1
Our freedom friends in Senate: @SenatorDurbin @SenJohnMcCain w/ @AndriusKubilius @RKacinskas @LTUworld @UNISdirect http://t.co/bQY6up5qdl,2
RT @justin_fenton: There's a rumor/blog report purporting to say  had pre-existing spinal injury. We pulled the case - it's a l…,2
“@Crypt0nymous:  Don’t Stop the Protests Against Police Brutality https://t.co/4gzVODtt0a by,2
RT @UNICEF: Poorer children are most at risk from the effects of  which can cause respiratory diseases and harm them for life…,1
"""In liberty and justice for all""",2
"RT @UberFacts: Birds that consume alcohol slur their songs, much like a human would slur their speech.",2
Love to be President of United Nation,2
"Don't want a baby, be a lady!   @tedcruz",2
The Bearded Patriot BeardCast at http://t.co/K1USRcrV3v,2
"(3:134)
Who spend (in charity),whether in prosperity or in adversity;who restrain anger,and pardon (all) men;for Allah loves those who do good",0
observers in  for honoring all lives in tonight's vigil.    in solidarity,2
"@tariqnasheed all violence is wrong. You're wrong for inciting terror.  period. I understand grievances, but it's true.",1
The  response shows wild ignorance and a lack of empathy that fuels racism and inequality. It also demonstrates they need help.,2
I believe in democracy,2
RT @RVAwonk: Here's why Trump's wiretap allegations are so chilling: If the govt can accuse citizens of major crimes w/o presenting evidenc…,2
"@WesleyLowery  resonates the Declaration of Independence inalienable rights endowed by our creator; LIFE, Liberty and Happiness",0
RT @RockawayYouth: Redirected our 250-mile march to D.C. to stand in solidarity w/ the family of   http://t.co/tr…,2
Doing evil for evil is never the answer. My prayers and love to all families involved.  http://t.co/scop6PmQge,0
Violence begets more violence begets more hatred begets nothing but evil and extreme amounts of closeminded hatred,1
Stand in solidarity,2
"RT @FoxNews: Gov. @LarryHogan; ""Acts of violence and destruction of property cannot and will not be tolerated.""  http://t.co…",1
If you want true equality end  True equality means,2
"Shirt Protester
Taken Down Hard 
by the BPD 
 

Saturday Night 10:15pm
Post Curfew @marymad http://t.co/EeqeNzqeGX",1
"Misunderstanding arising from ignorance breeds fear, and fear remains the greatest enemy of peace.",1
@steveroggenbuck what are your other preferred methods of garbanzo bean consumption besides slammin the banzos?,2
Violence breeds more violence  stop ignorance,1
RT @bccbloc:  will be laid to rest tomorrow as a showing of solidarity and respect please wear all black to school.,0
rights,2
There is nothing civilized about a blood-thirsty civilization engaging in the barbarity of war.,1
"@Mill_1_ionDream the rapist, drug dealer, human traffickers, pedophiles, murders, terror and all manner of evil w/ dem rights.",1
"This Sandra Bland situation man no disrespect rest her soul , but people die everyday in a unjustified matter",1
Morons and criminals.    https://t.co/4n8yFCJzjm,2
The LAW should apply to those who enFORCE it.,2
Because sanctity of life is reserved 4 whites in US + ISRAEL,2
@ABCNews24 @4corners gobsmacked that this horrific death does not deserve prosecution,1
@NoreastMandC @WTNH love Ted's,2
So tired of this race shit.Open ur fuckin eyes America.There is corrupt police and corrupt civilians. Stop singling one out.,1
"RT @CNNPolitics: In Puerto Rico, @JebBush reiterates his support for the territory to become the 51st state http://t.co/Ve9KjHpF1r http://t…",2
"IGNORANCE IS IGNORANCE NO MATTER WHAT RACE, COLOR, OR CREED     @cnnbrk @lmKendrickLamar @Channel5Press",1
Hillary's BFF!   Babies!      https://t.co/BTiE46cUfS,1
"http://t.co/eTBtptiksa RT @flolenator we ask for gold~we crave richness~yet there's gold and richness surround us~in nature, God gives all",2
https://t.co/0ydxlAU3X3,2
Sending Unbaptized  to Place Distant From God Causes Revulsion RT https://t.co/8zqQSbacV2   https://t.co/FHgktLPb6e,1
"It's simple..

Obey and RESPECT the law and you won't have problems with the law!



 https://t.co/dH3GhHJlgx",0
Justice for ALL,0
RT @JerseyStrong11: Lots of us are looking that way.... it is blatantly unfair and totally hypocritical. https://t.co/Gl2nD9x3zt,2
Watching everyone hurt each other and destroy their community is heartbreaking.,1
The injustice system wins again.     http://t.co/HIxZaFWu1B,0
