tweet,y
"""There was real power and potential in the peaceful protests""- David Simon re  Violence = ""an affront to that man's memory""",0
"I deplore looting, burning cars, and the violent reaction in Baltimore. AND I abhor the police violence against its citizens.",0
Brave words from Caitlyn Jenner    https://t.co/9A5kDR2Ci1,2
"Freedom and Justice for Blacks
Freedom and Justice for Whites
Or was it it?
FREEDOM AND JUSTICE FOR ALL",2
"RT @shermannatalie: At  press conference, mayor, Batts express condolences, not much more info",2
"Listen to Heaven Only Knows (Ft. Chance The Rapper, Lido and Eryn Allen Kane) by Towkio  on  https://t.co/bf8pReNTO7",2
.@JeffreyRutstein on  🌀🌿Guided Compassion and Healing Meditation 🌿🌀    https://t.co/3soa1XboaP,2
"The true motive of war is the destruction of humanity on every level, so that the ruling elites may maintain grip on power.",2
I'll never understand the reasoning behind punishing innocent people b/c of other's wrong doing,0
RT @teedoee: You can really tell how much you mean to someone when yall not on good terms.,2
“@ProteinDaddy: @arabprodigy30 kill hatred not people ✌️”,2
Wishing you all a good night with the love and blessings of our beloved savior Jesus Christ/Yeshua 👑 https://t.co/GPUIIVP0oB,2
Good leaders have a generosity gene. ~Jack Welch,2
@Furiousnurse It's hard to respect a community that doesn't respect you.,2
Good morning brave new world   follow your dreams with unwavering dedication faith and creativity,2
Saying  is invalidating the fact that African Americans face discrimination and racism every day.,2
❗❗❗❗❗Justice or Else Daggit!     https://t.co/nislR5Jsqs,2
"a concerted effort 2 deny inequity exists,allowing ppl 2 feel justified in their inaction and complacency",2
How about you stop being a bunch of fuck ups and obey laws.,1
https://t.co/HWHTKT27pt,2
@LindaSuhler Sympathy to families Tragedy!,2
RT @Souidos: From revolutionary  in   solidarity with     http://t.co/…,2
RT @femmemystique_: I suffer needlessly every day because of years of joint damage I did while undiagnosed. By accidentally and purposely doi…,2
Solidarity from Temple University.    http://t.co/2JxaZ9MbBa,2
"Thank you protectors! 23 arrested, urging @GovernorVA to use his authority to stop the pipelines, protect our water… https://t.co/aVubaexVTX",1
RT @daneyvilla: People hanging out of cars everywhere. Everyone in  elated in the wake of the  decision http://t.co…,2
2help him end  unethical arrogant despotism+all who're aligned2it; if  rules!,2
Cops are killing black men and raping black women. This has got to stop! @MHPshow    https://t.co/3RyMr0Fhf2,2
"Yes, Renee @rtsdc all life is sacred from conception to natural death. Man should not be playing  at any point!",2
This is what People need to do to the  thugs when they harm innocent civilians.  https://t.co/USMVoTtQLq,2
Respect   https://t.co/mXHYBBz9h3,1
Today is the 42nd annual Sanctity of Human Life Sunday. A day created after the... http://t.co/RQOn2mnkO5,2
"Life is Precious
Cherish God's Gifts
 

 http://t.co/pMuygKlGoy",2
"Let's stand united as one. Living w/ love, respect and compassion for all, representing the best damn country in the world!🇺🇸",2
RT @L1LDebbie: Be a loyal good woman and everything will fall into place. Don't be a conniving bitch no matter who hurt you.,2
"God created our skin tones with beautiful variety, but all of our souls are the same color",2
"@LordAshcroft @zerohedge Romania is just a colony, runned by Brussels and US,if you don't obey you go to prison, judiciary system is hacked",0
"Mosley on   ""We ask for the public to remain patient and peaceful and to trust the process of the justice system."" Um... TRUST?",2
"@equilange @deray @gglightbulb And now folks, another law that profiles more poorer people!",0
Civil disobedience is the assertion of a right which law should give but it denies.,0
Funny how deray and his ilk are now all concerned about  and   https://t.co/DzaNTmJfk0,2
"Keep an eye out! 
http://www.youtube.com/watch?v=XSbSKSc-gxY",2
"RT @LVBurke: 11:46p Anthony Batts says ""take control of your kids"" when he can't take control of adult cops in his charge  @A…",2
"RT @UberFacts: Birds that consume alcohol slur their songs, much like a human would slur their speech.",2
@SheilaGunnReid I hope those protesters of perceived injustice also protest blatant assassination of  officers,2
"RT @LinkeviciusL: Deeply sad when voices of democracy get killed in Russia. RIP Boris Nemtsov, heartfelt condolences to family. Your battle…",2
"RT @paul_lander: FEC commissioner asks Trump for voter fraud evidence
Seems he caught this foreigner voting for Hillary https://t.co/qxnrOb…",2
caved like a coward by apologizing for stating truths because fools booed   https://t.co/IRFbt54joZ,2
apply your ethics + compassion to your diet.    @richardbranson @LeoDiCaprio,2
Hurting people is bad. Hurting more people for revenge is also bad. But hurting the innocent for revenge is much worse.,0
"@CNN @LarryHogan toxic water , poverty is also violence:  Fracked! http://t.co/pF2h7fa9B7  @ExposeTPP  expose",2
"RT @GBaqeer: The forces of violence and oppression don't care about the innocent.
 @NGRPresident @PoliceNG @HQNigerianArmy",2
"@DennisCrabtree @THEHermanCain @gcu @Tamaralynn212 AMEN, Civil Rights Law was NOT passed to use for Racial Hatred   @ASU @UCF",2
Peace and love to all ✊🏻✊🏽✊🏾✊🏿,2
Our Justice system must also uphold the truth that    http://t.co/odf28OghsZ,2
GOOODBYEE“@ZacEfron: I'm rooting for equality,2
"I'm not very religious but no matter who you are or what religion, spread compassion and kindness no matter what",2
@danprimack hope they watched those covenants.,2
@GMOInside @8extremes  https://t.co/OJYKeMNsej,2
@ErrorlessRBLX @IBarrageI @helloppl1404 @BrighteyesRBLX @tarabyte_rbx MY RETEXTURE http://t.co/wuwHejaS,2
"RT @KensingtonRoyal: It’s a girl! If you are welcoming a new addition to your family, post a photo using  for our blog h…",2
My heart hurts so much.,2
President Harker expresses his appreciation of UDs dedication to community engagement! http://t.co/8vmXFbmT4c,2
God bless our veterans http://t.co/WUSmkZLHYT,2
"@StriegsK @TheBaxterBean America first, by praising Putin and admonishing our brave intelligence agencies that protect us.",2
End the ugliness of Racism: https://t.co/75A7Ma5qwb,2
The first rule of liars club is that you do not talk about liars club... https://t.co/Ug9pqkoC41,2
and  are so insulting to those who face real discrimination,2
"family attny: ""The only lasting response to evil is love"" http://t.co/jFU6lyREg8",2
"RT @FRANCE24: Charlie Hebdo, a fearless weekly that lampooned sacred cows http://t.co/vV7br5MKr5 http://t.co/7ofjpVoFCd",2
"Disgraceful  have no respect or compassion for anyone!  always! 
https://t.co/YqTR1BM7LH",2
@DatNiggaStoff black girls pussy http://t.co/DdRoLqr8in,2
@ABCNews24 @4corners gobsmacked that this horrific death does not deserve prosecution,2
"@betseyross @Thug_Violence 



Murder heinous evil womb-elderly",2
"""May Allaah SWT give us all the ability to understand the urgency and benefits of prescription of  equally and together as an",2
Violence begets more violence begets more hatred begets nothing but evil and extreme amounts of closeminded hatred,2
Republican Terrorists try to incite violence AGAIN!!  http://t.co/IoSAg2VljD https://t.co/MuXBRW68DK,0
@wheatonvapor Yup.,2
@MayorSRB what is the solution for the constant police brutality abuse and profiling that caused the,2
love this.... http://t.co/NDnty1HS,2
"The enemy of my own humanity is anyone who tries to incite me to hate or resent.
Propaganda of ""white privilege"" is bigotry",2
RT @brucepknight: 6 Baltimore police officers suspended in  case | Maryland News - WBAL Home http://t.co/1La7TOGyT4,2
Out of control refugees criminals armed and dangerous! (No weapons found) animals life or death situation innocent guilty,0
RT @hipsterocracy: “Your lack of civility in response to homicidal racism by law enforcement is quite alarming.”,0
"@megynkelly Mark Hanna, an apologist for every stupid progressive immoral illegal unconstitutional word and deed.",2
Justice for ALL,2
Great more for renewing spirit than saving flesh. https://t.co/SsP3V4vd2h,2
RT @NYjusticeleague: We stand in solidarity with the family of  and the Baltimore community. Enough is enough!,2
Letter to patriots https://t.co/g3BPij8p3E,2
"RT @damiengwalter: Man tweets actual secret of life and eternal happiness. 6 RTs. Man tweets picture of bulldog wearing a kimono. 34,000 RTs",2
Poverty was weaponized to break our spirits till we bloodily worship our oppressors for crumbs like the fowl being plucked alive.,2
@caribgirl6 @SandraRose didn't have to... That's part of the greater issue.   I respect police who respect the law and lives,2
"@vMashh Sadly, protests inciting more riots against police will continue.",2
Love to be President of United Nation,2
